,Station_id,Inspection Station,latitude,longitude,Overall_inspection_count,Emissions_inspection_count,Overall_fails,Safety_fails,Emissions_fails,Overall_fail_rate,Safety_fail_rate,Emissions_fail_rate,Overall_fail_rate_per_station,Safety_fail_rate_per_station,Emissions_fail_rate_per_station
219,PB050181,GERARDI & SONS SERVICE CENTER,42.278331,-71.853708,4710,3852,434,280,180,0.00111184,0.00121046,0.00102371,0.092144374,0.059447983,0.046728972
220,PB005099,PEABODY SUNOCO,42.517726,-70.943341,5324,4789,433,245,211,0.001109278,0.001059153,0.001200016,0.081329827,0.046018032,0.044059303
221,PB023937,UNIQUE AUTO REPAIR INC,42.627432,-71.322421,6922,4755,433,43,398,0.001109278,0.000185892,0.002263537,0.062554175,0.006212077,0.083701367
222,PB005401,MAYNARD MOTORS INC,42.425851,-71.458854,3617,3036,432,351,101,0.001106716,0.001517398,0.000574415,0.119435997,0.097041747,0.033267457
223,PB043566,SAMAY AUTOMOTIVE,42.384707,-71.100566,2153,1612,432,342,129,0.001106716,0.001478491,0.000733659,0.200650255,0.158848119,0.080024814
224,PB050602,"GREG'S AUTO REPAIR, INC.",42.138459,-72.737534,3412,2687,430,339,121,0.001101592,0.001465521,0.000688161,0.126025791,0.099355217,0.045031634
225,PB005261,RICKYS SALES & SERVICE,42.494505,-71.727086,11149,9051,429,116,319,0.001099031,0.000501476,0.001814242,0.038478787,0.010404521,0.035244724
226,PB016084,ART'S AUTO SERVICE,42.186491,-71.505891,2811,2357,428,318,127,0.001096469,0.001374737,0.000722284,0.152258983,0.113127001,0.053882053
227,PB007313,ANTOINES SERVICE INC,42.541841,-70.974696,5012,4410,427,334,111,0.001093907,0.001443906,0.000631288,0.085195531,0.066640064,0.025170068
228,PB004705,NEEDHAM SERVICE CENTER INC,42.282467,-71.236093,8288,7395,426,263,176,0.001091345,0.001136968,0.001000961,0.051399614,0.031732625,0.023799865
229,PB004894,LONGMEADOW GARAGE,42.05814,-72.580025,4730,4051,422,343,93,0.001081098,0.001482814,0.000528917,0.089217759,0.072515856,0.022957294
230,PB050536,SEEKONK AUTO SERVICE,41.826151,-71.329183,5558,4523,422,288,149,0.001081098,0.001245045,0.000847405,0.075926592,0.0518172,0.032942737
231,PB004706,METHUEN SHELL TIRE CENTER,42.70608,-71.197751,3659,2947,422,258,192,0.001081098,0.001115353,0.001091958,0.115332058,0.070511069,0.065151001
232,PB004536,FIVE STAR,42.146088,-70.845048,3955,3486,420,331,107,0.001075974,0.001430937,0.000608539,0.10619469,0.08369153,0.030694205
233,PB012690,GRYBKOS GARAGE,42.489814,-72.605719,4119,2863,419,306,126,0.001073412,0.00132286,0.000716597,0.101723719,0.074289876,0.04400978
234,PB004745,HARR MOTOR CO,42.290479,-71.803498,5501,5352,419,234,197,0.001073412,0.001011599,0.001120394,0.076167969,0.04253772,0.03680867
235,PB004808,PRO AUTOMOTIVE REPAIR INC.,42.166821,-72.72657,4558,3449,418,313,122,0.00107085,0.001353121,0.000693848,0.091706889,0.06867047,0.035372572
236,PB050576,BROADWAY GAS & SERVICE INC.,42.404821,-71.057964,5421,4488,418,87,339,0.00107085,0.000376107,0.001927988,0.077107545,0.0160487,0.075534759
237,PB050012,"WHITE VALLEY MOTORS, INC.",42.391822,-72.081478,3487,2868,418,317,117,0.00107085,0.001370414,0.000665412,0.119873817,0.090909091,0.040794979
238,PB025788,K & M AUTO REPAIR,41.889255,-71.119313,4500,3030,418,175,257,0.00107085,0.000756538,0.001461631,0.092888889,0.038888889,0.084818482
239,PB020768,DARTMOUTH GAS & SERVICE INC,41.610109,-70.939754,7201,5653,417,232,196,0.001068288,0.001002953,0.001114707,0.057908624,0.032217748,0.034671856
240,PB036071,"UNDERWOOD AUTO BODY SERVICE, INC.",42.285274,-71.091751,3626,2575,416,22,400,0.001065727,9.51E-05,0.002274912,0.114726972,0.006067292,0.155339806
241,PB004870,SPENCER MOTOR SALES,42.232878,-72.014031,5736,4671,414,246,187,0.001060603,0.001063476,0.001063521,0.072175732,0.042887029,0.040034254
242,PB014478,EXECUTIVE AUTO CENTER INC.,42.047235,-71.486854,2986,2598,414,367,65,0.001060603,0.001586567,0.000369673,0.138647019,0.122906899,0.025019246
243,PB020817,GIBBS SERVICE STATION,42.467759,-70.909071,7513,6419,413,200,226,0.001058041,0.000864614,0.001285325,0.054971383,0.026620524,0.035207976
244,PB004759,WAL-LEX GULF,42.407338,-71.237182,7628,6372,413,210,216,0.001058041,0.000907845,0.001228452,0.054142632,0.027530152,0.033898305
245,PB024237,CHICO'S SUNOCO,42.387191,-71.141641,5136,4240,413,189,234,0.001058041,0.000817061,0.001330823,0.080412773,0.036799065,0.055188679
246,PB042837,"EMERALD AUTO SALES & SERVICE, INC.",41.963995,-71.339927,5087,4021,412,271,157,0.001055479,0.001171552,0.000892903,0.080990761,0.053273049,0.039045014
247,PB024441,MERRIMACK PLAZA MOBIL,42.706622,-71.202797,4634,3817,412,244,188,0.001055479,0.00105483,0.001069209,0.088908071,0.052654294,0.04925334
248,PB010670,AUTO SOLUTIONS,42.39985,-71.048006,2544,2166,412,301,137,0.001055479,0.001301245,0.000779157,0.161949686,0.11831761,0.063250231
249,PB005641,SULLIVAN TIRE CO  INC,42.005566,-71.30228,1571,1412,411,279,150,0.001052917,0.001206137,0.000853092,0.261616805,0.177593889,0.106232295
